timestamp_ms,type,tag_id,anchor_id,range_cm,rssi_dbm,from_id,to_id,median_cm,known_cm,measured_cm,delay,snap_flag
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
0,RPT,0,1,1070177788,0,,,,,,,
0,RPT,0,2,1070177788,0,,,,,,,
0,RPT,0,3,1070177788,0,,,,,,,
0,RPT,0,4,1070177788,0,,,,,,,
